These are the citation-ids missing links in the 5.0 file, with the line of text they're on, for context in joining up manually.

id	text
aap-ai-2025	- [unknown] Real‑world AI gains and guardrails (bias, safety) still being proven. [^aap-ai-2025]
ace-access-2025	**Distributional effects:** Benefits most felt in low‑attainment areas; arts access particularly valuable where provision is thin. [^ace-access-2025]
aisi-progress-2025	- [impact-likely] [area: ai] [horizon: medium] Pre-deployment testing becomes standard for leading models and informs procurement and safety guidance. [^aisi-progress-2025]
aisi-report-2025; ^inspect-tool-2025	- [impact-proven] [area: ai] [horizon: short] First test reports published; Inspect tool released; at least one frontier model was red-teamed before launch. [^aisi-report-2025; ^inspect-tool-2025]
asylum-roadmap-2025	**Timeline & milestones:** Decision surge (2024 Q4–2025 Q2); next target to clear legacy cohorts; tribunal reform proposals due 2025. [^asylum-roadmap-2025]
asylum-stats-q1-2025	- [impact-proven] [area: migration] [horizon: short] Pending cases cut significantly from the 2023 peak; faster decisions per quarter. [^asylum-stats-q1-2025]
bbb-2025	**Intent (plain language):** Make it easier for founders and small firms to get affordable finance to start, grow, and invest — especially outside London and the South East. [^bbb-2025]
bbr-ia-2025	- [impact-hypothetical] [area: economy] [horizon: medium] Culture change and enforcement could unlock billions in working capital across supply chains. [^bbr-ia-2025]
bea-ops-2025	**Distributional effects:** Benefits households and businesses via fewer outages and faster recovery. [^bea-ops-2025]
beis-supply-2025	**Distributional effects:** Regional manufacturing uplift; SME supply chains. [^beis-supply-2025]
bfi-stats-2025	- [impact-likely] [area: culture] [horizon: medium] Skills and tax reliefs sustain production and jobs. [^bfi-stats-2025]
bill-clauses-2025	**Mechanism(s):** Primary legislation to tidy the statute book after Rwanda repeal; amendments on appeals timelines; modern slavery referral rules; new offences for facilitation. [^bill-clauses-2025]
bill-overview-2025	**Intent (plain language):** Replace the previous government’s Rwanda plan with a lawful approach: tougher action on gangs, targeted removals, more safe routes, and faster case handling. Clarify how “inadmissibility” and appeals will work without offshoring. [^bill-overview-2025]
bill-timeline-2025	**Timeline & milestones:** Bill passage this session; commencement via secondary rules; operational guidance to follow. [^bill-timeline-2025]
bma-deal-2024	**Intent:** End disruptive industrial action and restore staffing stability through fair pay offers, so patients see fewer cancelled appointments. [^bma-deal-2024]
bpv-2025	**Risks & constraints:** [risk: delivery] Supply chain; [risk: political] local opposition. [^bpv-2025]
breakfast-2025	[^breakfast-2025]: Placeholder: Breakfast club rollout — to be added.
breakfast-ops-2025	**Risks & constraints:** [risk: delivery] staffing for early starts; [risk: data-gap] sustained participation tracking. [^breakfast-ops-2025]
breakfast-report-2025	[^breakfast-report-2025]: Placeholder: Breakfast programme report — to be added.
budget-2024	**Costs & funding:** Additional central funding; partly covered by revenue from VAT on private school fees. [^budget-2024]
budget-2025	**Costs & funding:** Initial capital envelope £Xbn (public) to mobilise ~£Ybn private; returns long-dated. [^budget-2025]
caboffice-guidance-2025	- [impact-likely] Stricter internal rules and clearer disclosure reduce perceived conflicts over time. [^caboffice-guidance-2025]
cabsec-2025	**Risks & constraints:** [risk: finance] Affordability over a decade; [risk: delivery] cross‑government coordination. [^cabsec-2025]
capital-allocation-2025	**Mechanism(s):** Basic need allocations; targeted expansions; new free schools in hotspots; temporary bulge classes where required. [^capital-allocation-2025]
cato-notice-2025	**Mechanism(s):** Mandated software filing at Companies House; closure of HMRC’s free Company Accounts and Tax Online (CATO) service from April 2026; “Making Tax Digital” (MTD) for Income Tax extended to more sole traders/landlords in phases (thresholds stepping down to ~£20k by 2028); tougher late‑filing penalties; stronger HMRC enforcement. [^cato-notice-2025] [^hmrc-mtd-2025]
cbi-netzero-2025	**Distributional effects:** Broad national benefits; investment clusters in coastal/industrial regions. [^cbi-netzero-2025]
ccc-ets-2025	- [impact-hypothetical] [area: economy] [horizon: medium] Price stability and compliance cost reduction for UK industry. [^ccc-ets-2025]
ccwater-distribution-2025	**Distributional effects:** Cleaner rivers benefit all users; near-term bill pressure could hit low-income households unless social tariffs and support schemes are strengthened. [^ccwater-distribution-2025]
cfd-ar6-2024	**Intent (plain language):** Secure low-cost renewable capacity via competitive auctions across technologies. [^cfd-ar6-2024]
cfd-ar7-2025	- [impact-likely] [area: energy] [horizon: medium] AR7 design changes to de-risk offshore pipeline. [^cfd-ar7-2025]
cfd-framework-2024	**Mechanism(s):** CfD rounds; admin strike prices; budget pots; supply-chain plans. [^cfd-framework-2024]
cfd-timeline-2025	**Timeline & milestones:** AR6 2024 awards; AR7 2025 launch/award; build-out 2026–30. [^cfd-timeline-2025]
chatham-2025	- [unknown] Whether recognition proceeds; impact on regional dynamics and bilateral relations. [^chatham-2025]
childcare-expansion-2025	**Intent:** Expand funded childcare (up to 30 hours) to younger children to help parents work and reduce household costs. [^childcare-expansion-2025]
childcare-impl-2025	**Mechanism(s):** Increased per‑place funding to providers; phased age‑group rollout; workforce training and recruitment. [^childcare-impl-2025]
clean-power-plan-2025	- [impact-likely] [area: energy] [horizon: medium] Tripling solar to ~45 GW by 2030 stated aim. [^clean-power-plan-2025]
cma-2025	**Mechanism(s):** Competition review; planning/land rules that open opportunities to SME builders; conditions on mergers if needed. [^cma-2025]
cma-competition-2025	- [unknown] Real savings depend on consumer uptake, app quality, and regulator enforcement of standards. [^cma-competition-2025]
